Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,16.059999,17.400000,15.960000,16.799999,16.799999,855600
2019-01-08,16.980000,17.420000,16.820000,17.129999,17.129999,557100
2019-01-09,17.260000,17.639999,17.129999,17.209999,17.209999,726300
2019-01-10,17.059999,17.790001,16.799999,17.620001,17.620001,610400
2019-01-11,17.469999,17.850000,17.360001,17.660000,17.660000,537800
2019-01-14,17.660000,18.150000,17.540001,17.700001,17.700001,1021500
2019-01-15,17.790001,18.160000,17.740000,18.120001,18.120001,737200
2019-01-16,18.110001,18.250000,17.780001,18.170000,18.170000,535600
2019-01-17,18.000000,18.400000,17.900000,18.180000,18.180000,556000
2019-01-18,18.350000,18.490000,17.850000,18.030001,18.030001,621000
2019-01-22,17.840000,18.000000,17.209999,17.280001,17.280001,690600
2019-01-23,17.150000,17.740000,17.010000,17.340000,17.340000,662200
2019-01-24,17.480000,18.350000,17.209999,18.139999,18.139999,556400
2019-01-25,18.110001,19.830000,18.110001,19.510000,19.510000,1129800
2019-01-28,19.500000,20.680000,19.400000,20.530001,20.530001,1115800
2019-01-29,20.830000,21.070000,20.370001,20.580000,20.580000,885800
2019-01-30,20.719999,21.070000,20.440001,20.889999,20.889999,509700
2019-01-31,20.799999,21.690001,20.600000,21.570000,21.570000,686900
2019-02-01,21.570000,21.670000,19.410000,19.760000,19.760000,1547600
2019-02-04,19.910000,20.360001,19.660000,19.969999,19.969999,579500
2019-02-05,19.950001,20.330000,19.480000,19.790001,19.790001,484700
2019-02-06,20.950001,22.190001,20.850000,20.950001,20.950001,2195300
2019-02-07,21.020000,21.530001,20.250000,20.530001,20.530001,828000
2019-02-08,20.410000,20.820000,20.150000,20.570000,20.570000,589900
2019-02-11,21.080000,21.830000,21.080000,21.330000,21.330000,818200
2019-02-12,21.590000,21.719999,21.139999,21.330000,21.330000,666800
2019-02-13,21.309999,21.360001,20.719999,21.110001,21.110001,577500
2019-02-14,20.940001,21.400000,20.900000,21.139999,21.139999,610900
2019-02-15,21.250000,21.459999,20.100000,20.540001,20.540001,801800
2019-02-19,20.670000,22.549999,20.600000,22.299999,22.299999,1623800
2019-02-20,22.500000,22.830000,21.370001,21.549999,21.549999,1452200
2019-02-21,21.459999,22.240000,21.459999,22.180000,22.180000,694400
2019-02-22,22.320000,24.370001,22.320000,24.320000,24.320000,1746000
2019-02-25,24.650000,25.020000,23.160000,23.600000,23.600000,1387100
2019-02-26,23.459999,24.410000,23.450001,23.850000,23.850000,739900
2019-02-27,23.680000,24.230000,23.459999,24.190001,24.190001,569600
2019-02-28,24.180000,25.070000,23.969999,24.660000,24.660000,803500
2019-03-01,24.969999,25.889999,24.639999,24.990000,24.990000,1208600
2019-03-04,25.200001,25.240000,23.860001,24.430000,24.430000,690500
2019-03-05,24.350000,24.620001,23.969999,24.209999,24.209999,373500
2019-03-06,24.040001,24.219999,23.190001,23.549999,23.549999,705500
2019-03-07,23.530001,23.930000,22.750000,23.299999,23.299999,560600
2019-03-08,23.000000,23.480000,22.080000,23.070000,23.070000,710900
2019-03-11,23.240000,23.750000,23.070000,23.559999,23.559999,702400
2019-03-12,23.600000,24.000000,23.370001,23.629999,23.629999,769700
2019-03-13,23.719999,23.900000,23.260000,23.660000,23.660000,1029800
