Date,Open,High,Low,Close,Adj Close,Volume
2019-04-05,1.670000,1.680000,1.640000,1.680000,1.680000,2200
2019-04-08,1.680000,1.680000,1.640000,1.670000,1.670000,14500
2019-04-09,1.640000,1.660000,1.640000,1.660000,1.660000,4000
2019-04-10,1.650000,1.670000,1.600000,1.600000,1.600000,25000
2019-04-11,1.640000,1.670000,1.640000,1.660000,1.660000,5300
2019-04-12,1.660000,1.700000,1.650000,1.700000,1.700000,14900
2019-04-15,1.680000,1.740000,1.670000,1.700000,1.700000,19800
2019-04-16,1.710000,1.710000,1.690000,1.690000,1.690000,4000
2019-04-17,1.700000,1.740000,1.680000,1.680000,1.680000,13700
2019-04-18,1.700000,1.930000,1.700000,1.840000,1.840000,29300
2019-04-22,1.860000,1.930000,1.860000,1.890000,1.890000,7600
2019-04-23,2.000000,2.000000,1.860000,1.910000,1.910000,31800
2019-04-24,1.880000,1.930000,1.880000,1.910000,1.910000,25400
2019-04-25,1.990000,1.990000,1.860000,1.950000,1.950000,35400
2019-04-26,2.100000,2.190000,1.960000,2.030000,2.030000,195500
2019-04-29,2.080000,2.090000,1.980000,2.010000,2.010000,94200
2019-04-30,2.000000,2.050000,1.970000,2.000000,2.000000,71300
2019-05-01,1.980000,2.000000,1.960000,1.970000,1.970000,12600
2019-05-02,1.990000,1.990000,1.850000,1.850000,1.850000,19500
2019-05-03,1.850000,1.940000,1.850000,1.910000,1.910000,19800
2019-05-06,1.890000,1.970000,1.890000,1.900000,1.900000,19800
2019-05-07,1.890000,1.930000,1.880000,1.930000,1.930000,29700
2019-05-08,1.900000,1.900000,1.810000,1.840000,1.840000,15500
2019-05-09,1.830000,1.830000,1.760000,1.760000,1.760000,14400
2019-05-10,1.780000,1.840000,1.780000,1.810000,1.810000,6200
2019-05-13,1.790000,1.840000,1.750000,1.840000,1.840000,15200
2019-05-14,1.840000,1.840000,1.770000,1.800000,1.800000,41500
2019-05-15,1.800000,1.840000,1.770000,1.770000,1.770000,3700
2019-05-16,1.800000,1.820000,1.780000,1.820000,1.820000,26000
2019-05-17,1.810000,1.810000,1.770000,1.770000,1.770000,4400
2019-05-20,1.760000,1.790000,1.700000,1.750000,1.750000,18000
2019-05-21,1.780000,1.780000,1.650000,1.700000,1.700000,6600
2019-05-22,1.670000,1.740000,1.660000,1.700000,1.700000,19600
2019-05-23,1.700000,1.850000,1.680000,1.810000,1.810000,27900
2019-05-24,1.920000,2.000000,1.810000,1.900000,1.900000,43400
2019-05-28,1.900000,1.930000,1.880000,1.890000,1.890000,54100
2019-05-29,1.870000,1.940000,1.860000,1.900000,1.900000,22900
2019-05-30,1.900000,1.940000,1.850000,1.890000,1.890000,168300
2019-05-31,1.870000,1.880000,1.850000,1.850000,1.850000,3200
2019-06-03,1.870000,1.930000,1.850000,1.930000,1.930000,22600
2019-06-04,1.900000,1.920000,1.860000,1.900000,1.900000,29100
2019-06-05,1.920000,1.950000,1.910000,1.950000,1.950000,25300
2019-06-06,1.930000,1.950000,1.840000,1.840000,1.840000,26200
2019-06-07,1.880000,1.930000,1.880000,1.930000,1.930000,42500
2019-06-10,1.930000,1.980000,1.910000,1.960000,1.960000,7300
2019-06-11,1.980000,2.030000,1.980000,2.010000,2.010000,24400
2019-06-12,2.030000,2.130000,2.030000,2.130000,2.130000,11000
2019-06-13,2.090000,2.150000,2.080000,2.150000,2.150000,5700
2019-06-14,2.150000,2.200000,2.110000,2.140000,2.140000,35400
2019-06-17,2.360000,2.360000,2.080000,2.230000,2.230000,46700
2019-06-18,2.250000,2.300000,2.240000,2.300000,2.300000,14100
2019-06-19,2.450000,2.450000,2.300000,2.300000,2.300000,41700
2019-06-20,2.320000,2.400000,2.310000,2.350000,2.350000,59500
2019-06-21,2.340000,2.350000,2.260000,2.260000,2.260000,20200
2019-06-24,2.260000,2.280000,2.200000,2.200000,2.200000,17500
2019-06-25,2.210000,2.350000,2.210000,2.290000,2.290000,31400
2019-06-26,2.350000,2.350000,2.300000,2.320000,2.320000,45500
