Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,46.459999,47.740002,45.660000,45.790001,45.790001,1784000
2019-01-08,46.779999,47.000000,45.349998,46.230000,46.230000,1327600
2019-01-09,46.529999,47.630001,46.270000,46.959999,46.959999,1715000
2019-01-10,46.599998,47.930000,46.320000,47.740002,47.740002,1032100
2019-01-11,47.540001,47.849998,46.860001,47.500000,47.500000,1084200
2019-01-14,46.900002,47.380001,46.580002,46.730000,46.730000,1138300
2019-01-15,47.009998,47.200001,46.610001,46.860001,46.860001,1167500
2019-01-16,47.029999,47.820000,46.869999,47.299999,47.299999,1157400
2019-01-17,47.250000,48.650002,47.009998,48.380001,48.380001,2036000
2019-01-18,48.500000,49.380001,47.849998,47.939999,47.939999,1751000
2019-01-22,47.619999,47.860001,45.939999,46.209999,46.209999,1375400
2019-01-23,46.759998,46.990002,45.770000,46.540001,46.540001,1389200
2019-01-24,46.240002,48.860001,46.139999,48.599998,48.599998,1911100
2019-01-25,48.840000,50.099998,48.630001,49.860001,49.860001,1250900
2019-01-28,49.299999,50.840000,49.049999,50.700001,50.700001,1570700
2019-01-29,50.889999,50.889999,50.040001,50.080002,50.080002,1638900
2019-01-30,50.500000,50.980000,50.049999,50.709999,50.709999,935700
2019-01-31,50.500000,51.430000,50.150002,50.590000,50.590000,1249000
2019-02-01,50.779999,50.950001,48.060001,48.430000,48.430000,1977400
2019-02-04,48.599998,49.430000,48.240002,49.290001,49.290001,963800
2019-02-05,49.230000,49.450001,48.650002,49.310001,49.310001,1410500
2019-02-06,49.599998,50.450001,48.860001,48.889999,48.889999,1663000
2019-02-07,48.520000,49.360001,47.540001,48.000000,48.000000,1347200
2019-02-08,47.619999,48.419998,47.160000,48.099998,48.099998,1369200
2019-02-11,48.139999,49.950001,48.139999,49.720001,49.720001,1516000
2019-02-12,50.419998,50.880001,50.040001,50.259998,50.259998,1038900
2019-02-13,50.520000,50.970001,50.099998,50.639999,50.639999,756300
2019-02-14,50.430000,51.630001,50.419998,51.020000,51.020000,890800
2019-02-15,50.730000,51.209999,48.759998,49.180000,49.180000,2399700
2019-02-19,49.230000,52.240002,49.110001,52.060001,52.060001,2554500
2019-02-20,52.169998,52.610001,51.240002,51.689999,51.689999,2395700
2019-02-21,51.709999,52.490002,51.549999,51.950001,51.950001,2368200
2019-02-22,51.009998,53.840000,50.599998,53.730000,53.730000,4112400
2019-02-25,54.119999,55.380001,51.630001,51.770000,51.770000,3266200
2019-02-26,51.540001,52.320000,51.220001,51.889999,51.889999,2008300
2019-02-27,51.680000,52.500000,51.380001,52.380001,52.380001,1152800
2019-02-28,52.240002,53.570000,52.020000,52.549999,52.549999,1372300
2019-03-01,53.080002,54.000000,52.830002,53.410000,53.410000,1252800
2019-03-04,53.509998,53.680000,51.799999,52.490002,52.490002,1161500
2019-03-05,52.520000,53.119999,51.959999,52.189999,52.189999,755200
2019-03-06,52.099998,52.240002,51.099998,51.369999,51.369999,1204900
2019-03-07,51.220001,51.660000,50.240002,50.360001,50.360001,1442200
2019-03-08,49.669998,51.360001,49.060001,51.160000,51.160000,1673100
2019-03-11,51.299999,53.750000,51.299999,53.619999,53.619999,1748700
2019-03-12,53.529999,54.080002,52.970001,53.930000,53.930000,1141200
2019-03-13,54.060001,54.930000,54.009998,54.709999,54.709999,1483700
2019-03-14,55.000000,55.619999,54.160000,54.439999,54.439999,1383300
2019-03-15,54.759998,55.349998,53.610001,53.709999,53.709999,1489400
2019-03-18,54.099998,54.759998,53.759998,54.680000,54.680000,1190900
2019-03-19,54.910000,55.799999,54.700001,55.450001,55.450001,1528300
2019-03-20,55.310001,56.040001,54.790001,55.650002,55.650002,1647800
2019-03-21,55.419998,55.779999,54.049999,54.810001,54.810001,1468000
2019-03-22,54.529999,54.770000,51.869999,52.410000,52.410000,1948400
2019-03-25,52.220001,52.540001,51.320000,51.720001,51.720001,1252700
2019-03-26,52.099998,52.389999,50.590000,50.919998,50.919998,1396300
2019-03-27,50.980000,51.400002,50.209999,51.189999,51.189999,862000
2019-03-28,51.209999,52.080002,51.000000,52.020000,52.020000,1069200
2019-03-29,52.680000,53.000000,52.349998,52.840000,52.840000,904100
2019-04-01,53.290001,54.200001,53.180000,54.110001,54.110001,1303900
2019-04-02,54.200001,54.459999,53.240002,53.900002,53.900002,718100
2019-04-03,54.430000,55.490002,54.299999,54.849998,54.849998,1278300
2019-04-04,54.939999,55.389999,54.730000,55.380001,55.380001,807900
2019-04-05,55.500000,56.380001,55.320000,56.290001,56.290001,1338700
2019-04-08,56.160000,57.090000,55.959999,57.080002,57.080002,1289800
2019-04-09,56.840000,56.990002,55.939999,56.130001,56.130001,1051200
