Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,5.120000,5.390000,4.900000,5.260000,5.260000,1458700
2019-01-08,5.330000,5.480000,5.210000,5.350000,5.350000,1222600
2019-01-09,5.410000,5.770000,5.410000,5.630000,5.630000,1326300
2019-01-10,5.540000,5.770000,5.440000,5.630000,5.630000,1056100
2019-01-11,5.600000,5.700000,5.570000,5.680000,5.680000,812100
2019-01-14,5.640000,5.840000,5.480000,5.820000,5.820000,1444200
2019-01-15,5.900000,6.180000,5.820000,6.150000,6.150000,2436600
2019-01-16,6.130000,6.740000,6.100000,6.680000,6.680000,3826000
2019-01-17,6.780000,7.200000,6.750000,6.820000,6.820000,3367400
2019-01-18,6.850000,6.980000,6.430000,6.530000,6.530000,2219200
2019-01-22,6.480000,6.770000,6.410000,6.590000,6.590000,1621900
2019-01-23,6.610000,6.660000,6.390000,6.510000,6.510000,1083400
2019-01-24,6.500000,6.680000,6.440000,6.660000,6.660000,1550200
2019-01-25,6.720000,6.830000,6.520000,6.720000,6.720000,1550100
2019-01-28,6.640000,7.090000,6.640000,6.900000,6.900000,1563500
2019-01-29,6.990000,7.190000,6.940000,7.100000,7.100000,1696200
2019-01-30,7.140000,7.290000,7.040000,7.160000,7.160000,1515800
2019-01-31,7.160000,7.580000,7.100000,7.230000,7.230000,3743400
2019-02-01,7.260000,7.350000,6.600000,7.000000,7.000000,4422100
2019-02-04,7.020000,7.060000,6.800000,7.000000,7.000000,1289000
2019-02-05,6.870000,7.330000,6.870000,7.300000,7.300000,1842800
2019-02-06,7.300000,7.530000,7.260000,7.320000,7.320000,1471500
2019-02-07,7.320000,7.600000,7.270000,7.480000,7.480000,1814100
2019-02-08,7.400000,7.550000,7.270000,7.440000,7.440000,1095300
2019-02-11,7.550000,7.780000,7.450000,7.730000,7.730000,2439100
2019-02-12,7.900000,7.940000,7.460000,7.600000,7.600000,1902100
2019-02-13,7.650000,7.840000,7.510000,7.680000,7.680000,1192600
2019-02-14,7.630000,7.830000,7.610000,7.660000,7.660000,1088200
2019-02-15,7.720000,7.780000,7.560000,7.650000,7.650000,1298100
2019-02-19,7.570000,7.650000,7.410000,7.560000,7.560000,1608400
2019-02-20,7.490000,7.520000,7.010000,7.230000,7.230000,2484200
2019-02-21,7.260000,7.530000,7.260000,7.370000,7.370000,1245700
2019-02-22,7.420000,7.780000,7.380000,7.780000,7.780000,1611000
2019-02-25,7.820000,8.150000,7.710000,8.060000,8.060000,2175700
2019-02-26,8.010000,8.180000,7.850000,8.090000,8.090000,2395000
2019-02-27,8.400000,9.120000,8.020000,8.870000,8.870000,6182200
2019-02-28,9.000000,9.400000,8.770000,9.070000,9.070000,3523400
2019-03-01,9.110000,9.300000,9.030000,9.100000,9.100000,4636300
2019-03-04,9.190000,9.240000,8.650000,8.780000,8.780000,4228500
