Date,Open,High,Low,Adj Close,Volume,Ticker
2019-05-20,14.58,14.65,13.85,14.31,2233400,ENPH
2019-05-21,14.4,15.0,14.28,14.88,2009700,ENPH
2019-05-22,14.86,15.25,14.83,15.22,2385300,ENPH
2019-05-23,15.1,15.15,14.46,14.68,2663200,ENPH
2019-05-24,14.79,15.4,14.79,15.36,2498100,ENPH
2019-05-28,15.39,15.94,15.39,15.81,3642100,ENPH
2019-05-29,15.8,16.290001,15.49,16.290001,2525700,ENPH
2019-05-30,15.92,15.99,14.9,15.77,10071800,ENPH
2019-05-31,15.4,15.4,14.56,15.17,5425100,ENPH
2019-06-03,15.09,15.77,14.97,15.71,2532800,ENPH
2019-06-04,15.92,16.290001,15.81,15.97,2758800,ENPH
2019-06-05,16.0,16.110001,15.52,15.92,2344900,ENPH
2019-06-06,15.95,16.059998999999998,15.53,15.68,3333100,ENPH
2019-06-07,15.71,16.870001000000002,15.71,16.360001,3386500,ENPH
2019-06-10,16.780001000000002,16.85,16.1,16.190001000000002,3248600,ENPH
2019-06-11,16.41,17.15,16.27,17.07,4033000,ENPH
2019-06-12,17.219998999999998,17.549999,17.01,17.08,4271100,ENPH
2019-06-13,17.5,17.68,16.709999,17.51,4329700,ENPH
2019-06-14,17.41,17.48,17.0,17.33,2648100,ENPH
2019-06-17,17.459999,17.790001,17.15,17.75,2866600,ENPH
2019-06-18,17.950001,19.129998999999998,17.92,18.799999,4731900,ENPH
2019-06-19,19.01,19.059998999999998,18.0,18.629998999999998,4293600,ENPH
2019-06-20,18.4,18.74,18.15,18.4,3349300,ENPH
2019-06-21,18.219998999999998,18.299999,17.629998999999998,17.639999,3101200,ENPH
2019-06-24,17.65,18.299999,17.459999,17.49,2626400,ENPH
2019-06-25,17.42,17.469998999999998,16.15,16.290001,4261500,ENPH
2019-06-26,16.4,16.940001000000002,16.32,16.790001,2455500,ENPH
2019-06-27,16.91,18.07,16.9,17.92,2712900,ENPH
2019-06-28,17.959999,18.280001000000002,17.639999,18.23,6928800,ENPH
2019-07-01,18.799999,18.879998999999998,18.15,18.299999,3406100,ENPH
2019-07-02,18.25,18.66,17.959999,18.559998999999998,1980400,ENPH
2019-07-03,18.67,19.23,18.67,18.969998999999998,1891200,ENPH
2019-07-05,19.01,19.719998999999998,18.559998999999998,19.639999,2474200,ENPH
2019-07-08,19.629998999999998,20.18,19.280001000000002,19.969998999999998,3775300,ENPH
2019-07-09,20.0,20.59,19.860001,20.42,3685200,ENPH
2019-07-10,20.58,20.67,19.09,19.889999,4919000,ENPH
2019-07-11,20.01,20.370001000000002,19.219998999999998,19.48,4329700,ENPH
2019-07-12,19.57,19.93,19.32,19.67,3275500,ENPH
2019-07-15,19.82,19.9,19.280001000000002,19.66,2478800,ENPH
2019-07-16,19.719998999999998,20.59,19.52,20.35,3761300,ENPH
2019-07-17,20.309998999999998,20.540001,20.1,20.190001000000002,2310500,ENPH
2019-07-18,20.15,20.77,20.030001000000002,20.66,5944300,ENPH
2019-07-19,20.719998999999998,21.17,20.58,20.809998999999998,3346100,ENPH
2019-07-22,21.030001000000002,21.280001000000002,20.68,21.26,3009900,ENPH
2019-07-23,21.379998999999998,21.51,19.139999,19.65,5561600,ENPH
2019-07-24,19.65,20.07,19.360001,20.02,2537400,ENPH
2019-07-25,20.450001,20.459999,19.719998999999998,19.799999,2602300,ENPH
2019-07-26,19.889999,20.84,19.799999,20.799999,3104600,ENPH
2019-07-29,21.0,21.32,20.139999,21.200001,3592800,ENPH
2019-07-30,21.0,21.700001,20.700001,21.65,5147100,ENPH
2019-07-31,26.309998999999998,28.93,26.290001,28.15,22313400,ENPH
2019-08-01,28.58,31.17,28.200001,30.1,11806000,ENPH
2019-08-02,29.49,29.889999,28.35,29.120001000000002,6600300,ENPH
2019-08-05,27.799999,28.469998999999998,26.110001,27.450001,6764500,ENPH
2019-08-06,28.01,29.540001,28.0,28.719998999999998,4969500,ENPH
2019-08-07,28.77,31.299999,28.26,30.790001,5962200,ENPH
2019-08-08,31.07,31.690001000000002,29.809998999999998,31.58,4373000,ENPH
2019-08-09,31.48,32.799999,30.83,31.85,4300000,ENPH
2019-08-12,31.07,32.07,30.52,30.9,5011400,ENPH
2019-08-13,30.690001000000002,32.360001000000004,30.57,32.169998,3310000,ENPH
2019-08-14,31.809998999999998,31.950001,29.209999,30.219998999999998,5837000,ENPH
2019-08-15,30.629998999999998,30.809998999999998,29.51,29.780001000000002,3478600,ENPH
2019-08-16,30.35,32.400002,30.219998999999998,32.029999,5107900,ENPH
2019-08-19,32.900002,33.889998999999996,32.5,33.400002,5169100,ENPH
2019-08-20,33.25,34.630001,32.639998999999996,33.880001,4133200,ENPH
2019-08-21,34.470001,35.09,34.209998999999996,34.830002,3603200,ENPH
2019-08-22,34.759997999999996,35.110001000000004,33.18,33.75,4788600,ENPH
2019-08-23,33.34,34.869999,33.169998,33.400002,3919700,ENPH
2019-08-26,33.73,34.639998999999996,33.330002,34.619999,3620800,ENPH
2019-08-27,34.880001,35.419998,32.919998,33.049999,5087600,ENPH
2019-08-28,32.77,33.900002,32.110001000000004,33.27,4062300,ENPH
2019-08-29,33.830002,33.990002000000004,29.9,31.15,8505200,ENPH
2019-08-30,31.620001000000002,31.799999,28.700001,29.67,7036900,ENPH
2019-09-03,28.790001,29.889999,27.610001,27.700001,6681200,ENPH
2019-09-04,27.65,28.139999,26.700001,27.860001,4899900,ENPH
2019-09-05,28.6,28.93,24.57,25.290001,10032000,ENPH
2019-09-06,25.32,26.219998999999998,24.24,25.4,6979200,ENPH
2019-09-09,25.27,25.4,23.360001,23.799999,6176600,ENPH
2019-09-10,23.09,23.870001000000002,22.610001,23.280001000000002,4718000,ENPH
2019-09-11,23.389999,25.09,23.35,24.719998999999998,5771400,ENPH
