Date,Open,High,Low,Adj Close,Volume,Ticker
2019-04-29,2.08,2.09,1.98,2.01,94200,BWEN
2019-04-30,2.0,2.05,1.97,2.0,71300,BWEN
2019-05-01,1.98,2.0,1.96,1.97,12600,BWEN
2019-05-02,1.99,1.99,1.85,1.85,19500,BWEN
2019-05-03,1.85,1.94,1.85,1.91,19800,BWEN
2019-05-06,1.89,1.97,1.89,1.9,19800,BWEN
2019-05-07,1.89,1.93,1.88,1.93,29700,BWEN
2019-05-08,1.9,1.9,1.81,1.84,15500,BWEN
2019-05-09,1.83,1.83,1.76,1.76,14400,BWEN
2019-05-10,1.78,1.84,1.78,1.81,6200,BWEN
2019-05-13,1.79,1.84,1.75,1.84,15200,BWEN
2019-05-14,1.84,1.84,1.77,1.8,41500,BWEN
2019-05-15,1.8,1.84,1.77,1.77,3700,BWEN
2019-05-16,1.8,1.82,1.78,1.82,26000,BWEN
2019-05-17,1.81,1.81,1.77,1.77,4400,BWEN
2019-05-20,1.76,1.79,1.7,1.75,18000,BWEN
2019-05-21,1.78,1.78,1.65,1.7,6600,BWEN
2019-05-22,1.67,1.74,1.66,1.7,19600,BWEN
2019-05-23,1.7,1.85,1.68,1.81,27900,BWEN
2019-05-24,1.92,2.0,1.81,1.9,43400,BWEN
2019-05-28,1.9,1.93,1.88,1.89,54100,BWEN
2019-05-29,1.87,1.94,1.86,1.9,22900,BWEN
2019-05-30,1.9,1.94,1.85,1.89,168300,BWEN
2019-05-31,1.87,1.88,1.85,1.85,3200,BWEN
2019-06-03,1.87,1.93,1.85,1.93,22600,BWEN
2019-06-04,1.9,1.92,1.86,1.9,29100,BWEN
2019-06-05,1.92,1.95,1.91,1.95,25300,BWEN
2019-06-06,1.93,1.95,1.84,1.84,26200,BWEN
2019-06-07,1.88,1.93,1.88,1.93,42500,BWEN
2019-06-10,1.93,1.98,1.91,1.96,7300,BWEN
2019-06-11,1.98,2.03,1.98,2.01,24400,BWEN
2019-06-12,2.03,2.13,2.03,2.13,11000,BWEN
2019-06-13,2.09,2.15,2.08,2.15,5700,BWEN
2019-06-14,2.15,2.2,2.11,2.14,35400,BWEN
2019-06-17,2.36,2.36,2.08,2.23,46700,BWEN
2019-06-18,2.25,2.3,2.24,2.3,14100,BWEN
2019-06-19,2.45,2.45,2.3,2.3,41700,BWEN
2019-06-20,2.32,2.4,2.31,2.35,59500,BWEN
2019-06-21,2.34,2.35,2.26,2.26,20200,BWEN
2019-06-24,2.26,2.28,2.2,2.2,17500,BWEN
2019-06-25,2.21,2.35,2.21,2.29,31400,BWEN
2019-06-26,2.35,2.35,2.3,2.32,45500,BWEN
2019-06-27,2.34,2.39,1.65,2.0,130500,BWEN
2019-06-28,2.05,2.59,2.05,2.22,237600,BWEN
2019-07-01,2.22,2.3,2.15,2.2,52800,BWEN
2019-07-02,2.2,2.49,2.1,2.24,184900,BWEN
2019-07-03,2.24,2.32,2.2,2.2,17600,BWEN
2019-07-05,2.21,2.29,2.21,2.27,24200,BWEN
2019-07-08,2.3,2.4,2.27,2.31,112300,BWEN
2019-07-09,2.35,2.42,2.27,2.36,125500,BWEN
2019-07-10,2.35,2.35,2.27,2.3,13800,BWEN
2019-07-11,2.32,2.35,2.2,2.2,38300,BWEN
2019-07-12,2.23,2.26,2.2,2.2,97800,BWEN
2019-07-15,2.22,2.29,2.2,2.26,17600,BWEN
2019-07-16,2.23,2.24,2.16,2.2,62600,BWEN
2019-07-17,2.21,2.21,2.1,2.1,9300,BWEN
2019-07-18,2.13,2.14,2.05,2.14,12800,BWEN
2019-07-19,2.14,2.21,2.09,2.11,16900,BWEN
2019-07-22,2.11,2.13,2.05,2.1,15700,BWEN
2019-07-23,2.08,2.16,2.05,2.09,25700,BWEN
2019-07-24,2.14,2.21,2.12,2.21,49500,BWEN
2019-07-25,2.24,2.25,2.08,2.18,48800,BWEN
2019-07-26,2.17,2.2,2.02,2.06,35400,BWEN
2019-07-29,2.08,2.25,2.08,2.14,46700,BWEN
2019-07-30,2.15,2.15,1.92,2.01,65000,BWEN
2019-07-31,2.0,2.1,1.97,1.97,12200,BWEN
2019-08-01,2.0,2.03,1.71,1.87,44000,BWEN
2019-08-02,1.76,1.96,1.53,1.83,119600,BWEN
2019-08-05,1.8,1.81,1.76,1.79,49100,BWEN
2019-08-06,1.83,1.83,1.61,1.78,26100,BWEN
2019-08-07,1.74,1.83,1.72,1.83,18000,BWEN
2019-08-08,1.81,2.15,1.66,1.9,16500,BWEN
2019-08-09,1.92,1.92,1.85,1.85,7400,BWEN
2019-08-12,1.86,1.96,1.74,1.76,82900,BWEN
2019-08-13,1.74,1.88,1.66,1.72,21600,BWEN
2019-08-14,1.66,1.66,1.55,1.62,39700,BWEN
2019-08-15,1.61,1.69,1.61,1.63,40300,BWEN
2019-08-16,1.62,1.7,1.62,1.65,46600,BWEN
2019-08-19,1.65,1.85,1.65,1.65,28400,BWEN
2019-08-20,1.66,1.84,1.66,1.74,4400,BWEN
2019-08-21,1.74,1.78,1.63,1.71,13200,BWEN
2019-08-22,1.8,1.85,1.62,1.85,39200,BWEN
2019-08-23,1.82,1.88,1.71,1.88,17600,BWEN
2019-08-26,1.89,1.93,1.76,1.86,7800,BWEN
2019-08-27,1.84,1.84,1.74,1.82,72600,BWEN
2019-08-28,1.8,2.08,1.8,2.08,10400,BWEN
2019-08-29,2.05,2.05,1.82,1.84,6800,BWEN
2019-08-30,1.85,1.98,1.85,1.87,8000,BWEN
2019-09-03,1.88,1.9,1.71,1.71,12100,BWEN
2019-09-04,1.82,1.95,1.65,1.72,15000,BWEN
2019-09-05,1.75,1.8,1.7,1.7,3600,BWEN
2019-09-06,1.79,1.81,1.74,1.74,3900,BWEN
2019-09-09,1.73,1.87,1.72,1.87,9000,BWEN
2019-09-10,1.87,1.87,1.73,1.85,18100,BWEN
