Date,Open,High,Low,Adj Close,Volume,Ticker
2019-01-07,16.059998999999998,17.4,15.96,16.799999,855600,CSIQ
2019-01-08,16.98,17.42,16.82,17.129998999999998,557100,CSIQ
2019-01-09,17.26,17.639999,17.129998999999998,17.209999,726300,CSIQ
2019-01-10,17.059998999999998,17.790001,16.799999,17.620001000000002,610400,CSIQ
2019-01-11,17.469998999999998,17.85,17.360001,17.66,537800,CSIQ
2019-01-14,17.66,18.15,17.540001,17.700001,1021500,CSIQ
2019-01-15,17.790001,18.16,17.74,18.120001000000002,737200,CSIQ
2019-01-16,18.110001,18.25,17.780001000000002,18.17,535600,CSIQ
2019-01-17,18.0,18.4,17.9,18.18,556000,CSIQ
2019-01-18,18.35,18.49,17.85,18.030001000000002,621000,CSIQ
2019-01-22,17.84,18.0,17.209999,17.280001000000002,690600,CSIQ
2019-01-23,17.15,17.74,17.01,17.34,662200,CSIQ
2019-01-24,17.48,18.35,17.209999,18.139999,556400,CSIQ
2019-01-25,18.110001,19.83,18.110001,19.51,1129800,CSIQ
2019-01-28,19.5,20.68,19.4,20.530001000000002,1115800,CSIQ
2019-01-29,20.83,21.07,20.370001000000002,20.58,885800,CSIQ
2019-01-30,20.719998999999998,21.07,20.440001000000002,20.889999,509700,CSIQ
2019-01-31,20.799999,21.690001000000002,20.6,21.57,686900,CSIQ
2019-02-01,21.57,21.67,19.41,19.76,1547600,CSIQ
2019-02-04,19.91,20.360001,19.66,19.969998999999998,579500,CSIQ
2019-02-05,19.950001,20.33,19.48,19.790001,484700,CSIQ
2019-02-06,20.950001,22.190001000000002,20.85,20.950001,2195300,CSIQ
2019-02-07,21.02,21.530001000000002,20.25,20.530001000000002,828000,CSIQ
2019-02-08,20.41,20.82,20.15,20.57,589900,CSIQ
2019-02-11,21.08,21.83,21.08,21.33,818200,CSIQ
2019-02-12,21.59,21.719998999999998,21.139999,21.33,666800,CSIQ
2019-02-13,21.309998999999998,21.360001,20.719998999999998,21.110001,577500,CSIQ
2019-02-14,20.940001000000002,21.4,20.9,21.139999,610900,CSIQ
2019-02-15,21.25,21.459999,20.1,20.540001,801800,CSIQ
2019-02-19,20.67,22.549999,20.6,22.299999,1623800,CSIQ
2019-02-20,22.5,22.83,21.370001000000002,21.549999,1452200,CSIQ
2019-02-21,21.459999,22.24,21.459999,22.18,694400,CSIQ
2019-02-22,22.32,24.370001000000002,22.32,24.32,1746000,CSIQ
2019-02-25,24.65,25.02,23.16,23.6,1387100,CSIQ
2019-02-26,23.459999,24.41,23.450001,23.85,739900,CSIQ
2019-02-27,23.68,24.23,23.459999,24.190001000000002,569600,CSIQ
2019-02-28,24.18,25.07,23.969998999999998,24.66,803500,CSIQ
2019-03-01,24.969998999999998,25.889999,24.639999,24.99,1208600,CSIQ
2019-03-04,25.200001,25.24,23.860001,24.43,690500,CSIQ
2019-03-05,24.35,24.620001000000002,23.969998999999998,24.209999,373500,CSIQ
2019-03-06,24.040001,24.219998999999998,23.190001000000002,23.549999,705500,CSIQ
2019-03-07,23.530001000000002,23.93,22.75,23.299999,560600,CSIQ
2019-03-08,23.0,23.48,22.08,23.07,710900,CSIQ
2019-03-11,23.24,23.75,23.07,23.559998999999998,702400,CSIQ
2019-03-12,23.6,24.0,23.370001000000002,23.629998999999998,769700,CSIQ
2019-03-13,23.719998999999998,23.9,23.26,23.66,1029800,CSIQ
2019-03-14,23.75,23.83,23.290001,23.48,459700,CSIQ
2019-03-15,23.6,23.75,23.120001000000002,23.290001,700600,CSIQ
2019-03-18,23.4,23.700001,22.92,23.33,649700,CSIQ
2019-03-19,23.370001000000002,23.629998999999998,23.27,23.48,790000,CSIQ
2019-03-20,23.48,23.76,23.01,23.620001000000002,1319500,CSIQ
2019-03-21,21.540001,21.540001,19.1,19.280001000000002,5554000,CSIQ
2019-03-22,19.200001,19.24,18.49,18.75,3732600,CSIQ
2019-03-25,18.74,18.82,18.139999,18.52,1920100,CSIQ
2019-03-26,18.68,18.700001,17.92,18.200001,1052400,CSIQ
2019-03-27,18.16,18.450001,17.629998999999998,18.299999,792400,CSIQ
2019-03-28,18.23,18.85,18.139999,18.780001000000002,830400,CSIQ
2019-03-29,18.809998999999998,19.120001000000002,18.41,18.629998999999998,597900,CSIQ
2019-04-01,18.75,19.190001000000002,18.639999,19.09,672500,CSIQ
2019-04-02,19.01,19.25,18.4,18.99,776000,CSIQ
2019-04-03,19.129998999999998,19.35,18.709999,19.139999,580000,CSIQ
2019-04-04,19.15,19.25,18.91,19.139999,372400,CSIQ
2019-04-05,19.299999,19.540001,19.219998999999998,19.32,558900,CSIQ
2019-04-08,19.299999,19.549999,19.059998999999998,19.450001,350700,CSIQ
2019-04-09,19.450001,19.540001,18.85,18.92,666300,CSIQ
2019-04-10,19.01,19.370001000000002,18.43,18.809998999999998,681900,CSIQ
2019-04-11,18.719998999999998,18.870001000000002,18.25,18.459999,629300,CSIQ
2019-04-12,18.549999,19.1,18.440001000000002,18.82,1567900,CSIQ
2019-04-15,18.799999,19.02,18.639999,18.83,810000,CSIQ
2019-04-16,18.959999,19.360001,18.860001,19.120001000000002,838100,CSIQ
2019-04-17,19.33,19.75,19.0,19.139999,875900,CSIQ
2019-04-18,19.190001000000002,19.370001000000002,18.9,19.01,612100,CSIQ
2019-04-22,19.02,19.629998999999998,19.02,19.58,765200,CSIQ
2019-04-23,19.67,20.299999,19.639999,20.26,1530500,CSIQ
2019-04-24,20.25,20.75,20.16,20.18,893600,CSIQ
2019-04-25,20.059998999999998,20.459999,19.93,20.059998999999998,580400,CSIQ
2019-04-26,20.08,20.309998999999998,20.0,20.27,517400,CSIQ
2019-04-29,20.58,20.59,19.950001,20.030001000000002,426100,CSIQ
2019-04-30,19.92,20.07,19.59,19.98,544700,CSIQ
2019-05-01,20.18,20.83,20.129998999999998,20.629998999999998,873700,CSIQ
2019-05-02,20.65,20.91,20.200001,20.4,622600,CSIQ
2019-05-03,20.5,21.459999,20.379998999999998,21.450001,1674400,CSIQ
2019-05-06,20.66,20.83,20.02,20.030001000000002,869600,CSIQ
2019-05-07,19.99,20.280001000000002,19.75,20.139999,499200,CSIQ
